end;AccountsNotesAndLoansReceivableNetCurrent;AccountsPayableCurrent;AccountsPayableRelatedPartiesCurrent;AccountsReceivableNet;AccountsReceivableNetCurrent;AccretionExpenseIncludingAssetRetirementObligations;AccrualForEnvironmentalLossContingencies;AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment;AccumulatedOtherComprehensiveIncomeLossNetOfTax;AdditionalPaidInCapitalCommonStock;AllowanceForDoubtfulAccountsReceivableCurrent;AssetImpairmentCharges;Assets;AssetsCurrent;AssetsFairValueDisclosure;CashAndCashEquivalentsAtCarryingValue;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;CommonStockValue;ComprehensiveIncomeNetOfTax;ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest;ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest;ContractWithCustomerAssetGross;ContractWithCustomerLiability;CostOfGoodsAndServicesSold;CostOfPurchasedOilAndGas;DebtCurrent;DeferredCreditsAndOtherLiabilitiesNoncurrent;DeferredIncomeTaxExpenseBenefit;DeferredIncomeTaxLiabilitiesNet;DeferredTaxLiabilitiesNoncurrent;DepreciationAndAmortization;DepreciationDepletionAndAmortization;DerivativeAssetFairValueGrossLiability;DerivativeCollateralObligationToReturnSecurities;DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral;DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral;DerivativeLiabilityCollateralRightToReclaimCashOffset;DerivativeLiabilityFairValueGrossAsset;DividendsCommonStockCash;DueFromRelatedPartiesCurrent;EffectOfLIFOInventoryLiquidationOnIncome;EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss;EquityMethodInvestmentSummarizedFinancialInformationRevenue;ExcessOfReplacementOrCurrentCostsOverStatedLIFOValue;ExciseAndSalesTaxes;FairValueAssetsLevel2ToLevel1TransfersAmount;FairValueLiabilitiesLevel2ToLevel1TransfersAmount;ForeignCurrencyTransactionGainLossBeforeTax;Goodwill;IncomeLossFromContinuingOperations;IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest;IncomeLossFromEquityMethodInvestments;IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions;IncomeLossIncludingPortionAttributableToNoncontrollingInterest;IncomeTaxExpenseBenefit;IncreaseDecreaseInAccountsPayable;IncreaseDecreaseInInventories;IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets;IncreaseDecreaseInReceivables;IntangibleAssetsNetExcludingGoodwill;InterestAndDebtExpense;InterestExpenseRelatedParty;InventoryCrudeOilProductsAndMerchandise;InventoryNet;LIFOInventoryAmount;Liabilities;LiabilitiesAndStockholdersEquity;LiabilitiesCurrent;LiabilitiesFairValueDisclosure;LongTermDebtAndCapitalLeaseObligations;LongTermInvestmentsAndReceivablesNet;MinorityInterest;MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders;NetCashProvidedByUsedInFinancingActivities;NetCashProvidedByUsedInInvestingActivities;NetCashProvidedByUsedInOperatingActivities;NetIncomeLoss;NetIncomeLossAttributableToNoncontrollingInterest;NetIncomeLossAvailableToCommonStockholdersBasic;NetIncomeLossAvailableToCommonStockholdersDiluted;NonoperatingIncomeExpense;OtherAssetsNoncurrent;OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax;OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationTax;OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax;OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax;OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax;OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax;OtherComprehensiveIncomeLossNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax;OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax;OtherCostAndExpenseOperating;OtherInventoryNetOfReserves;OtherInventorySupplies;OtherLiabilitiesCurrent;OtherNoncashIncomeExpense;OtherNonoperatingIncome;ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic;ParticipatingSecuritiesDistributedAndUndistributedEarningsLossDiluted;PaymentsForProceedsFromOtherInvestingActivities;PaymentsForRepurchaseOfCommonStock;PaymentsOfDividendsCommonStock;PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent;PrepaidExpenseAndOtherAssetsCurrent;ProceedsFromPaymentsForOtherFinancingActivities;ProfitLoss;PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization;PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization;PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization;PropertyPlantAndEquipmentGross;PropertyPlantAndEquipmentNet;ReceivablesNetCurrent;RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty;RepaymentsOfDebtAndCapitalLeaseObligations;RetainedEarningsAccumulatedDeficit;RevenueFromContractWithCustomerExcludingAssessedTax;RevenueFromRelatedParties;SalesRevenueNet;SellingGeneralAndAdministrativeExpense;StockholdersEquity;StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest;TaxesExcludingIncomeAndExciseTaxes;TaxesPayableCurrent;TreasuryStockValue;TreasuryStockValueAcquiredCostMethod
2011-03-31;;;1178216777.7223594;;157818338310.39355;6000000.0;519444163.9645744;;;18687432006.783623;624623334.1799628;2000000.0;43211000000.0;;;3645173141.00185;3681782512.5603037;19702479.825028323;657000000.0;1000000.0;658000000.0;;435736817.55030555;-152165094364.2789;39348000000.0;;;59000000.0;;;219000000.0;342000000.0;;-331962848.41107273;84000000.0;;;;;15847080759.610432;;863000000.0;7127000000.0;-29460501695.24438;3383000000.0;193939525.1049149;226351620.08393195;43000000.0;;-12347032116.34785;-2427000000.0;690000000.0;308000000.0;-765433159.4778651;418000000.0;1572000000.0;2903000000.0;470000000.0;453000000.0;701609077.7641943;4000000.0;2000000.0;;;;119595167100.5791;43210999999.96327;;;;;122660685.40419978;-23713295.85386741;1633000000.0;-133000000.0;-1500000000.0;676000000.0;1000000.0;1049000000.0;1049000000.0;-1206365.1844346789;;24000000.0;;4746858.195470024;890954.4906651678;;-118035529.54916306;-19000000.0;259736.47426183743;-16000000.0;-3000000.0;-203441721.21089414;-2000000.0;;12940204818.14478;-1150816905.4171758;231183256.9498384;;58000000.0;1000000.0;;;-1000000.0;;;;-14111352374.374784;;677000000.0;-5735097169.252468;96967078805.37936;101008358541.80664;;;;111000000.0;452587594.90035725;;178463275242.6114;2458000000.0;44779000000.0;323000000.0;7382968585.3396;28416000000.0;;;-10891887663.091537;-1774971557.213034
2011-06-30;;;1029000000.0;;7264117112.352617;6000000.0;540000000.0;8602000000.0;160000000.0;18675512946.598667;31000000.0;2000000.0;46473333333.333336;23128000000.0;1486000000.0;3104000000.0;3131050253.310113;5922556.055034373;1023000000.0;1000000.0;1024000000.0;;390085085.73543775;65556292909.29796;46600000000.0;207000000.0;471000000.0;95666666.66666666;;6008000000.0;226000000.0;342000000.0;1082181473.2531304;-67952495.83506489;21000000.0;72000000.0;;1139272792.1424668;;1693000000.0;;1039000000.0;8581000000.0;9300000000.0;3554000000.0;120928631.51497513;167942905.2119801;31000000.0;3329000000.0;864785654.7509143;-2427000000.0;784000000.0;321666666.6666667;1603112236.392993;588000000.0;1713333333.3333333;2441333333.3333335;374333333.3333333;732333333.3333333;730000000.0;3000000.0;2000000.0;4760000000.0;5040000000.0;4616000000.0;28055000000.0;52998000000.0;14712000000.0;1512000000.0;5971000000.0;;31000000.0;17626733.79427123;1279666666.6666667;-159333333.33333334;-1120333333.3333333;1039000000.0;1000000.0;1049000000.0;1049000000.0;1000000.0;162000000.0;-7000000.0;;1517219.732623858;248717.06521708376;1000000.0;51588790.24884153;-19000000.0;66067.52409341579;-16000000.0;-3000000.0;-276052056.030428;-2000000.0;;1092000000.0;453729844.3880213;280000000.0;461000000.0;98000000.0;9000000.0;;;-833333.3333333334;;;;718000000.0;-55000000.0;1040000000.0;11946336973.409323;32097382130.117607;46294143685.84643;23456000000.0;14854000000.0;;80000000.0;313549754.70055485;;-22805933287.888744;2458000000.0;52594000000.0;347000000.0;24912000000.0;26176000000.0;;1195000000.0;-2872947544.4668274;249528789.67913818
2011-09-30;;;1029000000.0;;4284824903.9843545;5000000.0;540000000.0;8602000000.0;160000000.0;18608000000.0;31000000.0;486000000.0;49735666666.666664;23128000000.0;1486000000.0;3104000000.0;3131050253.3101134;6000000.0;1017000000.0;2000000.0;1019000000.0;;344975774.49043953;64195753525.465836;43905000000.0;207000000.0;471000000.0;132333333.33333333;;6008000000.0;222000000.0;342000000.0;1082181473.2531304;-212732366.602553;21000000.0;72000000.0;;1139272792.142467;;1693000000.0;71000000.0;638000000.0;4615000000.0;9300000000.0;3596000000.0;139291895.6782276;182633516.5425821;-18000000.0;3329000000.0;1123055379.572762;-2427000000.0;856000000.0;335333333.3333333;1560579339.9389634;499000000.0;1854666666.6666667;1979666666.6666665;278666666.6666666;1011666666.6666666;730000000.0;4000000.0;3000000.0;4760000000.0;5040000000.0;4616000000.0;28055000000.0;52998000000.0;14712000000.0;1512000000.0;5971000000.0;;31000000.0;15065519.932671934;926333333.3333334;-185666666.66666666;-740666666.6666666;1049000000.0;2000000.0;1049000000.0;1049000000.0;1000000.0;162000000.0;-15000000.0;;3288311.7928943355;600911.782398291;1000000.0;-61880031.43651907;-36000000.0;16088.440178984602;-32000000.0;4000000.0;-257618415.0474522;-2000000.0;;1092000000.0;412284844.67982143;280000000.0;461000000.0;138000000.0;18000000.0;;;-666666.6666666667;;;;718000000.0;-55000000.0;1051000000.0;15572399921.592546;26295521117.692604;27567089150.31662;23456000000.0;14854000000.0;;97000000.0;265961221.7611971;692000000.0;-21802551288.303852;2107000000.0;50610000000.0;372000000.0;24912000000.0;26372000000.0;;1195000000.0;2388295869.081421;837445139.407707
2012-03-31;;;1029000000.0;;50378677922.19397;5000000.0;540000000.0;8602000000.0;160000000.0;18608000000.0;31000000.0;43000000.0;52998000000.0;23128000000.0;1486000000.0;3104000000.0;3131050253.310113;6000000.0;674000000.0;2000000.0;676000000.0;;349404830.2907157;63080816280.48891;40328000000.0;207000000.0;471000000.0;169000000.0;;6008000000.0;216000000.0;342000000.0;1082181473.2531304;-229765292.57519865;21000000.0;72000000.0;;1139272792.1424668;;1693000000.0;71000000.0;1082000000.0;8535000000.0;9300000000.0;3321000000.0;184704139.81602967;218963311.85282376;15000000.0;3329000000.0;-3243396866.6089892;-2427000000.0;734000000.0;349000000.0;514800447.62739855;431000000.0;1996000000.0;1518000000.0;183000000.0;1291000000.0;730000000.0;13000000.0;2000000.0;4760000000.0;5040000000.0;4616000000.0;28055000000.0;52998000000.0;14712000000.0;1512000000.0;5971000000.0;;31000000.0;-7777327.803084433;573000000.0;-212000000.0;-361000000.0;636000000.0;2000000.0;636000000.0;636000000.0;1000000.0;162000000.0;54000000.0;;3496675.564690862;642346.4550078451;1000000.0;43905427.84428498;34000000.0;447158.03894095466;38000000.0;-3000000.0;-212770035.49864998;-2000000.0;;1092000000.0;401529361.010846;280000000.0;461000000.0;178000000.0;1000000.0;;;-500000.0;;;1081000000.0;718000000.0;-55000000.0;638000000.0;15951075848.099497;21030292106.81375;25968572915.3;23456000000.0;14854000000.0;;99000000.0;261899128.4747243;692000000.0;-21843034608.514072;2137000000.0;45783000000.0;349000000.0;24912000000.0;24943000000.0;;1195000000.0;111000000.0;918169331.8847489
2012-06-30;;;1012000000.0;6245686318.891893;63702012062.55139;6000000.0;538000000.0;7975000000.0;-358000000.0;18608000000.0;49000000.0;275000000.0;48575000000.0;18526000000.0;3374000000.0;3104000000.0;3131050253.310113;6000000.0;1204000000.0;1000000.0;1205000000.0;;312105011.3800899;42738582009.04959;40398000000.0;590000000.0;505000000.0;140000000.0;;5497000000.0;224000000.0;342000000.0;737000000.0;238640171.67255706;245000000.0;12000000.0;;1248441688.8285682;194000000.0;1337000000.0;71000000.0;1451000000.0;8527000000.0;6900000000.0;3389000000.0;174860402.28653604;211088321.8292286;-8000000.0;3344000000.0;1392000000.0;1395000000.0;815000000.0;207000000.0;1924142857.1428654;712000000.0;2152333333.3333335;1826333333.3333333;145666666.66666666;766333333.3333333;728000000.0;83000000.0;2000000.0;5208000000.0;5496000000.0;5061000000.0;29596000000.0;48575000000.0;14371000000.0;3098000000.0;7396000000.0;10498000000.0;31000000.0;-9377412.359346315;187000000.0;-249000000.0;497000000.0;1181000000.0;1000000.0;1181000000.0;1181000000.0;77000000.0;168000000.0;-113000000.0;;-2233328.159713625;-497107.04175488476;-1000000.0;-655183514.8088477;-45000000.0;-596155.337772799;23000000.0;-69000000.0;-221726703.7988458;-40000000.0;;984000000.0;423680332.6983358;288000000.0;941000000.0;130000000.0;77000000.0;;;-333333.3333333334;382000000.0;194000000.0;1081000000.0;713000000.0;-36666666.66666667;1182000000.0;8912953406.897308;6713352037.831039;14468804719.736683;23144000000.0;15169000000.0;7273821266.365059;44000000.0;3000000.0;692000000.0;3912650363.1362305;2099000000.0;46747000000.0;480000000.0;18948000000.0;18979000000.0;;1091000000.0;111000000.0;382000000.0
2012-09-30;;;1185000000.0;6245686318.891893;57555005581.49766;7000000.0;533000000.0;8256000000.0;-129000000.0;18643000000.0;52000000.0;248000000.0;52230000000.0;21873000000.0;1751000000.0;4430000000.0;4480472315.191889;6000000.0;1828000000.0;2000000.0;1830000000.0;;324691789.04098195;49227281852.32681;36189000000.0;585000000.0;562000000.0;111000000.0;;5436000000.0;229000000.0;342000000.0;737000000.0;340837727.5084311;33000000.0;96000000.0;;925069042.7456216;194000000.0;1657000000.0;1000000.0;1449000000.0;8347000000.0;7900000000.0;3312000000.0;209382706.4668504;238706165.1734806;15000000.0;3344000000.0;1392000000.0;1395000000.0;959000000.0;65000000.0;2419428571.428589;848000000.0;2308666666.6666665;2134666666.6666665;108333333.33333333;241666666.66666663;726000000.0;74000000.0;2000000.0;5454000000.0;5743000000.0;5303000000.0;31624000000.0;52230000000.0;16386000000.0;1721000000.0;7393000000.0;10498000000.0;33000000.0;-11282892.104500607;-199000000.0;-286000000.0;1355000000.0;1599000000.0;2000000.0;1598000000.0;1599000000.0;4000000.0;176000000.0;210000000.0;;-3483510.790492786;-745715.0774122081;1000000.0;61763419.741898954;210000000.0;1421750.1752723658;229000000.0;-18000000.0;-186401752.68126827;-10000000.0;;884000000.0;564518208.178182;289000000.0;607000000.0;82000000.0;4000000.0;;;336877281.6864285;382000000.0;194000000.0;1081000000.0;907000000.0;-18333333.333333336;1601000000.0;1898376377.3530154;7562944612.492321;15246963726.316357;23567000000.0;15311000000.0;7273821266.365059;32000000.0;3000000.0;2164000000.0;-1761912022.5235138;1883000000.0;42945000000.0;432000000.0;20573000000.0;20606000000.0;;1392000000.0;111000000.0;382000000.0
2013-03-31;;;1218000000.0;6245686318.891893;51306254371.451996;6000000.0;515000000.0;8528000000.0;-622000000.0;18775000000.0;49000000.0;24000000.0;51151000000.0;21170000000.0;881000000.0;4753000000.0;4809177689.240015;6000000.0;1099000000.0;3000000.0;1102000000.0;;273638218.3358249;50885924925.46175;35243000000.0;13000000.0;315000000.0;82000000.0;;5507000000.0;242000000.0;342000000.0;737000000.0;408969431.3990137;3000000.0;62000000.0;;943000000.0;194000000.0;1522000000.0;9000000.0;1750000000.0;8140000000.0;8100000000.0;3258000000.0;225768433.45505506;251814746.76404443;-2000000.0;3344000000.0;1392000000.0;1395000000.0;1039000000.0;-77000000.0;2070857142.857153;663000000.0;2465000000.0;2443000000.0;71000000.0;-283000000.0;727000000.0;70000000.0;2000000.0;5517000000.0;5811000000.0;5387000000.0;29773000000.0;51151000000.0;14951000000.0;8498000000.0;6958000000.0;10498000000.0;34000000.0;-8818121.371006101;-585000000.0;-323000000.0;2213000000.0;1407000000.0;3000000.0;1406000000.0;1407000000.0;23000000.0;155000000.0;-322000000.0;;-4316965.8776788935;-911453.7678504231;0.0;-238432293.5556781;-318000000.0;-1901858.905037317;-308000000.0;-10000000.0;-170290899.1205426;-3000000.0;;978000000.0;450575161.16070396;294000000.0;552000000.0;34000000.0;23000000.0;;;0.0;382000000.0;194000000.0;1339000000.0;696000000.0;0.0;1410000000.0;7537380296.62706;10525883213.710556;16939535268.267582;23785000000.0;15257000000.0;7273821266.365058;24000000.0;3000000.0;3923000000.0;-4447111343.7841835;1749000000.0;41211000000.0;327000000.0;21344000000.0;21378000000.0;;1010000000.0;738000000.0;382000000.0
2013-06-30;;;1267000000.0;5954952503.555512;49179232925.16709;6000000.0;504000000.0;8567000000.0;-566000000.0;18812000000.0;40000000.0;1000000.0;49929000000.0;20529000000.0;878000000.0;4220000000.0;4266762938.875772;6000000.0;1014000000.0;2000000.0;1016000000.0;;321962260.86238354;48899159956.647064;37257000000.0;14000000.0;304000000.0;-49500000.0;;5480000000.0;229000000.0;342000000.0;727000000.0;374903579.45372236;2000000.0;16000000.0;;943000000.0;202750000.0;1958000000.0;17000000.0;975000000.0;8080000000.0;7500000000.0;3428000000.0;208187358.44400167;237749886.7552012;18000000.0;3228000000.0;944000000.0;946000000.0;618000000.0;-215750000.0;1465000000.00001;507000000.0;2225000000.0;2474000000.0;86250000.0;-367000000.0;716000000.0;69000000.0;2000000.0;4735000000.0;5033000000.0;4617000000.0;28239000000.0;49929000000.0;14005000000.0;7548000000.0;6455000000.0;10624000000.0;35000000.0;-6688122.722176194;-777500000.0;-263750000.0;2009250000.0;958000000.0;2000000.0;957000000.0;958000000.0;49000000.0;153000000.0;38000000.0;;-3900238.334085839;-828584.4226313152;1000000.0;-117312142.46310258;37000000.0;347199.87111209205;56000000.0;-18000000.0;-188678084.35507324;-11000000.0;;1032000000.0;460570693.71684635;298000000.0;538000000.0;30750000.0;49000000.0;;;-3250000.0;446500000.0;202750000.0;1328000000.0;1483000000.0;-1000000.0;960000000.0;6656845196.813997;10021101489.474457;16736799490.880478;23246000000.0;14679000000.0;7046497046.96368;28000000.0;4250000.0;4687000000.0;-6029767028.631634;2050000000.0;43190000000.0;368000000.0;21655000000.0;21690000000.0;;825000000.0;1284000000.0;384125000.0
2013-09-30;;;1508000000.0;5682996596.113909;50035572093.518776;6000000.0;505000000.0;8814000000.0;-367000000.0;18839000000.0;40000000.0;1000000.0;50983000000.0;21085000000.0;1098000000.0;5942000000.0;6019179824.667943;6000000.0;734000000.0;5000000.0;739000000.0;;330781950.3046832;52658681015.0374;38717000000.0;24000000.0;571000000.0;-181000000.0;;5633000000.0;233000000.0;342000000.0;943000000.0;374903579.45372236;1000000.0;23000000.0;;943000000.0;211500000.0;2126000000.0;2000000.0;801000000.0;8754000000.0;8000000000.0;3568000000.0;200037006.2450989;231229604.99607828;-1000000.0;3228000000.0;521000000.0;526000000.0;647000000.0;-354500000.0;816000000.0000103;278000000.0;1985000000.0;2505000000.0;101500000.0;-451000000.0;713000000.0;68000000.0;2000000.0;4470000000.0;4737000000.0;4341000000.0;28989000000.0;50983000000.0;14680000000.0;7198000000.0;6132000000.0;10728000000.0;444000000.0;-3004736.025598824;-970000000.0;-204500000.0;1805500000.0;535000000.0;5000000.0;533000000.0;535000000.0;-7000000.0;152000000.0;186000000.0;;-3900238.334085839;-828584.4226313153;454545.4545454546;31000000.0;182000000.0;1000000.0;199000000.0;-17000000.0;-197560423.45775715;-11000000.0;-12000000.0;992000000.0;460732552.0947295;267000000.0;691000000.0;27500000.0;-7000000.0;1000000.0;;-6500000.0;511000000.0;211500000.0;1286000000.0;662000000.0;-2000000.0;540000000.0;7185885502.59762;9547597914.666008;16532888863.937412;23891000000.0;15077000000.0;6833855238.169516;28000000.0;5500000.0;5030000000.0;-7845330563.249977;2066000000.0;44146000000.0;349000000.0;21550000000.0;21994000000.0;;889000000.0;1958000000.0;386250000.0
2013-12-31;;;1370500000.0;5795016529.417235;46292677879.89169;6000000.0;496500000.0;9020500000.0;-145000000.0;18885500000.0;40666666.666666664;1000000.0;50915000000.0;21072000000.0;824500000.0;5634000000.0;5705739406.070971;6000000.0;1173000000.0;5500000.0;1178500000.0;;329913362.81596154;51630186507.602715;36549000000.0;32000000.0;533000000.0;-312500000.0;;5662500000.0;233500000.0;342000000.0;695500000.0;345095959.00159246;0.0;13500000.0;;695500000.0;220250000.0;1974000000.0;-4333333.333333333;951000000.0;8376000000.0;8100000000.0;3545000000.0;217061932.75290668;244849546.20232564;9000000.0;3184500000.0;693500000.0;699000000.0;712500000.0;-493250000.0;1359571428.571447;352000000.0;1745000000.0;2536000000.0;116750000.0;-535000000.0;725000000.0;68000000.0;2000000.0;5056000000.0;5322500000.0;4931500000.0;29003500000.0;50915000000.0;14922000000.0;7035500000.0;6154500000.0;10364500000.0;444000000.0;314981.94609853625;-1162500000.0;-145250000.0;1601750000.0;1053500000.0;5500000.0;1052000000.0;1053500000.0;12000000.0;155000000.0;108500000.0;;-3535601.733441917;-756073.7455645961;-90909.09090909082;31000000.0;106000000.0;1000000.0;119500000.0;-13500000.0;-179614567.8334539;-8000000.0;-12000000.0;1041000000.0;459465499.5773359;266500000.0;684500000.0;24250000.0;12000000.0;1000000.0;;-9750000.0;575500000.0;220250000.0;1039500000.0;683500000.0;-3000000.0;1059000000.0;8144760324.980572;10791801725.58502;17600267864.80203;24434500000.0;15414000000.0;6921443411.791874;31500000.0;6750000.0;5996000000.0;-5750555137.957436;2066500000.0;42214500000.0;375500000.0;21467500000.0;21911500000.0;;1240000000.0;3275000000.0;388375000.0
